new_price,old_price,discount,sold,vn_name,en_name,url_thumbnail
471.000 ₫,550.000 ₫,14%,14,"Sữa Chống Nắng Elixir Nâng Tông, Kiềm Dầu 35g",Reflet Balancing Oshiroi Milk C SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-nang-tong-kiem-dau-35g_m2CqhKMB8rgMT4kJ_img_380x380_64adc6_fit_center.png
487.000 ₫,575.000 ₫,15%,13,Gel Chống Nắng Anessa Cho Da Nhạy Cảm & Trẻ Em 90g (Mới),Mineral UV Sunscreen Mild Gel (For Sensitive Skin) SPF35/PA+++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-anessa-cho-da-nhay-cam-tre-em-90g-moi_oXooPBWXWxAUvYFf_img_380x380_64adc6_fit_center.png
792.000 ₫,990.000 ₫,20%,7,"Sữa Chống Nắng Elixir Nâng Tông, Ngừa Lão Hóa 35g",Day Care Revolution Tone-Up SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-nang-tong-ngua-lao-hoa-35g_KxKr3YBQd4poYNAb_img_380x380_64adc6_fit_center.png
367.000 ₫,490.000 ₫,25%,15,Dầu Tẩy Trang d program Dành Cho Da Nhạy Cảm 120ml,Essence In Cleansing Oil,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422200365-1732765769_img_380x380_64adc6_fit_center.jpg
1.180.000 ₫,1.390.000 ₫,15%,4,"Serum Elixir Hỗ Trợ Săn Chắc Da, Ngừa Lão Hóa 40ml",Superieur Design Time Serum,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-elixir-ho-tro-san-chac-da-ngua-lao-hoa-40ml_d4R6B9DC8t3yZbfX_img_380x380_64adc6_fit_center.png
472.000 ₫,690.000 ₫,32%,9,Tinh Chất Chống Nắng d program Kiềm Dầu SPF 50 PA+++ 40ml,Allerdefense Essence N,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206141-1705051028_img_380x380_64adc6_fit_center.jpg
394.000 ₫,590.000 ₫,33%,11,BB Chống Nắng Trang Điểm d program Tông Sáng 30ml,Allerdefense Essence BB Light SPF50+ PA+++,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206144-1705051494_img_380x380_64adc6_fit_center.jpg
1.016.000 ₫,1.430.000 ₫,29%,4,Combo 2 Sữa Chống Nắng Anessa Cho Da Nhạy Cảm & Trẻ Em 60ml (Mới),Perfect UV Sunscreen Mild Milk (For Sensitive Skin) SPF50+/PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-chong-nang-anessa-cho-da-nhay-cam-tre-em-60ml-moi_2pYpxgs5J5HvJYQN_img_380x380_64adc6_fit_center.png
765.000 ₫,900.000 ₫,15%,5,Serum d program Dưỡng Sáng Da Dạng Jelly 60g,Whitening Jelly Clear Essence,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-419200010-1705114546_img_380x380_64adc6_fit_center.jpg
471.000 ₫,550.000 ₫,14%,7,"Sữa Rửa Mặt Elixir 2 Trong 1 Dưỡng Ẩm, Ngừa Lão Hóa 140ml",Superieur Moist-In Cleanser,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-elixir-2-trong-1-duong-am-ngua-lao-hoa-140ml_pxuW6Ew7twzM384F_img_380x380_64adc6_fit_center.png
517.000 ₫,690.000 ₫,25%,6,Serum d program Dưỡng Da Bảo Vệ Chuyên Sâu 40ml,Thermo Defense Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422202864-1705051849_img_380x380_64adc6_fit_center.jpg
544.000 ₫,890.000 ₫,39%,5,Sữa Dưỡng d program Dành Cho Da Mụn 100ml,Acne Care Emulsion,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-419200006-1705115628_img_380x380_64adc6_fit_center.jpg
